,,,,,,
atk,8,9,,,15,
atk imparable ,,,11,11,,
token bombe dégât ,,,,4,,
contre attaque défense ,2,1,1,1,2,
def ,1,2,1,3,8,
token agilité,,,,oui,,
vie ennemie,40,30,18,2,-15,
,,,,,,
atk,8,7,10,10,,
atk imparable ,,,,,11,
token bombe dégât ,,,4,4,4,
contre attaque défense ,2,,1,2,3,
def ,1,4,2,2,1,
token agilité,,,,,,
vie ennemie,40,33,18,2,-16,
,,,,,,
atk,5,6,9,5,,
atk imparable ,,,,,,10
token bombe dégât ,,4,4,,,4
contre attaque défense ,3,2,1,,1,2
def ,,1,1,10,3,2
token agilité,,,,oui,,
vie ennemie,42,30,16,11,10,-6
,,,,,,
atk,,5,14,8,13,
atk imparable ,3,,,,,
token bombe dégât ,,4,4,,8,
contre attaque défense ,,3,2,2,2,
def ,,,1,,2,
token agilité,,,,oui,,
vie ennemie,47,35,15,5,-18,
,,,,,,
atk,,,,,,
atk imparable ,,,,,,
token bombe dégât ,,,,,,
contre attaque défense ,,,,,,
def ,,,,,,
vie ennemie,,,,,,
