,,,,,,
atk,7,,,5,12,
atk imparable ,,6,6,,,
forme chat,,2,2,2,2,
wound token,1,2,1,2,2,
contre attaque défense ,1,2,1,2,3,
def ,1,0,7,,1,
vie druide,50,52,53,55,56,
vie ennemie,41,29,19,8,-11,
,,,,,,
atk,6,5,7,,,
atk imparable ,,,,12,,
forme chat,2,2,2,2,,
wound token,1,2,2,2,,
contre attaque défense ,1,1,2,2,,
def ,1,1,,2,,
vie druide,50,50,52,53,55,
vie ennemie,40,30,17,-1,,
,,,,,,
,,,,,,
atk,9,6,6,7,,
atk imparable ,,,,,8,
forme chat,2,2,2,2,2,
wound token,1,2,1,2,2,
contre attaque défense ,1,,,3,2,
def ,1,2,2,7,2,
vie druide,50,50,50,50,50,52
vie ennemie,37,27,18,4,-10,
,,,,,,
atk,7,7,0,7,9,
atk imparable ,,,,,,
forme chat,2,2,,2,2,
wound token,1,1,1,2,2,
contre attaque défense ,1,5,1,,2,
def ,1,1,7,2,2,
vie druide,50,50,50,50,50,
vie ennemie,39,24,22,11,-4,
,,,,,,
atk,7,9,7,9,,
atk imparable ,,,,,,
forme chat,2,2,2,2,,
wound token,1,2,2,2,,
contre attaque défense ,4,1,3,2,,
def ,2,1,1,0,,
vie druide,50,50,50,52,53,
vie ennemie,36,22,8,-7,,
