,,,,,,
atk,6,9,,6,,
atk imparable ,,,12,4,14,
brûlure ,2,2,2,2,2,
contre attaque défense ,,,,,,
def ,,,,,,
vie pyro,,,,,,
vie ennemie,38,27,13,1,-15,
,,,,,,
atk,,,,8,,
atk imparable ,5,12,12,,,
brûlure ,2,2,2,2,,
contre attaque défense ,,,,,,
def ,,,,,,
vie pyro,,,,,,
vie ennemie,33,19,5,-5,,
,,,,,,
atk,9,9,6,,,
atk imparable ,,,,5,12,12
brûlure ,,2,2,2,2,2
contre attaque défense ,,,,,,
def ,,,,,,
vie pyro,,,,,,
vie ennemie,41,30,22,15,1,-13
,,,,,,
atk,,,9,,,
atk imparable ,4,12,,6,19,
brûlure ,,,2,2,2,
contre attaque défense ,,,,,,
def ,,,,,,
vie pyro,,,,,,
vie ennemie,46,34,23,15,-6,
,,,,,,
,,,,,,
atk,8,,6,,,
atk imparable ,,12,,18,2,
brûlure ,,,,2,2,
contre attaque défense ,,,,,,
def ,,,,,,
vie pyro,,,,,,
vie ennemie,42,30,24,4,0,
