,,,,,,,,
atk,8,0,0,0,0,0,,
atk imparable ,0,0,0,0,0,16,,
atk nevermore,1,2,3,2,3,3,,
def atk,2,3,3,4,4,2,,
def défense ,3,0,2,0,0,2,,
heal,0,0,3,3,3,0,,
vie hero,50,50,53,56,59,59,,
vie ennemie ,41,36,30,24,17,-2,,
hex présent ,non,non,,oui,,oui,,
,,,,,,,,
,,,,,,,,
atk,0,0,0,0,0,0,0,9
atk imparable ,0,0,0,0,15,0,0,0
atk nevermore,2,2,2,0,1,3,5,4
def atk,2,2,2,2,2,0,2,2
def défense ,2,2,6,0,2,2,0,2
heal,0,3,0,0,3,3,3,3
vie hero,50,53,53,53,56,59,62,65
vie ennemie ,46,42,38,36,18,15,8,-7
hex présent ,0,oui,oui,oui,,,,
,,,,,,,,
atk,0,0,0,0,0,0,0,
atk imparable ,0,9,0,0,0,0,13,
atk nevermore,1,2,1,4,3,1,3,
def atk,2,3,4,2,3,4,1,
def défense ,2,2,0,0,2,0,2,
heal,0,3,0,3,3,3,3,
vie hero,50,53,53,56,59,62,65,
vie ennemie ,47,36,31,25,19,14,-2,
hex présent ,,,,,,,oui,
