,,,,,,,,
atk,,10,0,,,16,,7
atk imparable ,3,,,,1,,,
poison,,,,1,2,2,2,2
contre attaque défense ,3,,,,3,,,
def ,,,,,,,,
ombre,oui,oui,,oui,oui,oui,oui,
vie voleur,50,50,50,50,50,50,50,
vie ennemie,44,34,34,33,27,9,7,-2
,,,,,,,,
atk,0,6,2,6,,7,,
atk imparable ,,,,,18,,,
poison,,,1,1,1,3,,
contre attaque défense ,,,3,,,2,,
def ,,,,,6,,,
ombre,,oui,oui,oui,,,,
vie voleur,,,,,,,,
vie ennemie,50,44,38,31,12,0,,
,,,,,,,,
,,,,,,,,
atk,0,8,7,14,4,11,,
atk imparable ,,,,,,,,
poison,,2,2,2,3,3,,
contre attaque défense ,,,,,,,,
def ,ombre,,6,,,,,
ombre,oui,,,,oui,,,
vie voleur,,,,,,,,
vie ennemie,50,40,31,15,8,-6,,
,,,,,,,,
atk,0,6,16,6,,,,
atk imparable ,,,,,20,,,
poison,1,2,2,3,3,,,
contre attaque défense ,,,,,,,,
def ,0,,,,,,,
ombre,,,,,,,,
vie voleur,,oui,oui,oui,,,,
vie ennemie,49,41,23,14,-9,,,
