,,,,,,,
atk,7,9,,,6,4,
atk imparable ,,,12,6,,,
forme chat,,,,,,2,
wound token,,,,,,1,
contre attaque défense ,2,3,,2,1,3,
def ,2,1,2,2,3,3,
vie druide,50,52,55,58,62,65,67
vie ennemie,41,29,17,9,2,-8,
,,,,,,,
atk,5,11,10,,6,,
atk imparable ,,,,8,,,
forme chat,,,,,2,,
wound token,,,,,2,,
contre attaque défense ,2,2,1,2,1,,
def ,,,1,8,3,,
vie druide,50,54,57,60,63,64,
vie ennemie,43,30,19,9,-2,,
,,,,,,,
atk,,,10,6,,,
atk imparable ,,6,,,12,5,
forme chat,,,,,2,2,
wound token,,,,1,1,1,
contre attaque défense ,1,2,4,1,1,0,
def ,3,2,,7,3,2,
vie druide,50,52,55,58,61,64,67
vie ennemie,49,41,27,19,3,-5,
,,,,,,,
atk,11,6,7,,12,,
atk imparable ,,,,12,,,
forme chat,,,2,2,2,,
wound token,,,1,1,1,,
contre attaque défense ,1,2,2,1,1,,
def ,1,6,2,4,1,,
vie druide,50,52,55,58,61,62,
vie ennemie,38,30,18,2,-14,,
,,,,,,,
atk,6,5,10,6,14,,
atk imparable ,,2,,,,,
forme chat,,,,,2,,
wound token,,,,,1,,
contre attaque défense ,2,2,2,1,2,,
def ,4,2,2,1,2,,
vie druide,50,52,55,56,58,61,
vie ennemie,42,33,21,14,-5,,
,,,,,,,
atk,6,5,10,,6,,
atk imparable ,,,,12,,,
forme chat,,,,,2,,
wound token,,,,,1,,
contre attaque défense ,1,3,2,1,2,,
def ,3,1,2,3,2,,
vie druide,50,52,55,56,60,62,
vie ennemie,43,34,22,9,-2,,
