,,,,,
atk,6,12,,,
atk imparable ,,,16,,
brûlure ,,,2,,
contre attaque défense ,5,4,5,,
def ,,,,,
vie pyro,,,,,
vie ennemie,39,23,0,,
,,,,,
atk,6,,10,6,
atk imparable ,,5,7,,12
brûlure ,,,,,
contre attaque défense ,3,5,1,4,
def ,,,,6,1
vie pyro,,,,,
vie ennemie,41,31,13,3,-10
,,,,,
atk,6,,9,,
atk imparable ,,15,,16,
brûlure ,2,2,2,2,
contre attaque défense ,,,,,
def ,2,4,4,4,
vie pyro,,,,,
vie ennemie,40,19,5,-17,
,,,,,
atk,,,,,
atk imparable ,5,17,12,6,
brûlure ,,,,,
contre attaque défense ,3,4,2,2,
def ,,,,,
vie pyro,,,,,
vie ennemie,42,21,7,-1,
